fec_id,name,state,district,party,office,incumbent_challenge,candidate_status,party_simple,key,twitter_name,bioguide_id,twitter_id
H2CO07170,"AADLAND, ERIK",CO,07,REPUBLICAN PARTY,House,Open seat,P,Republican,erik  aadland,AadlandforCO,NA,
H2UT03280,"AALDERS, TIM",UT,03,REPUBLICAN PARTY,House,Challenger,C,Republican,tim  aalders,NA,NA,
H2CA30291,"AAZAMI, SHERVIN",CA,32,DEMOCRATIC PARTY,House,Challenger,N,Democrat,shervin  aazami,AazamiShervin,NA,
H2MN07162,"ABAHSAIN, JILL",MN,07,DEMOCRATIC-FARMER-LABOR,House,Challenger,P,Other,jill  abahsain,NA,NA,
H2NY12197,"ABDELHAMID, RANA",NY,12,DEMOCRATIC PARTY,House,Challenger,P,Democrat,rana  abdelhamid,NA,NA,
H2MN05174,"ABDIRAHMAN, SHUKRI ABDULLAHI MS.",MN,05,REPUBLICAN PARTY,House,Challenger,P,Republican,shukri  abdirahman,NA,NA,
H2OH09197,"ABDULLAHI, MUNIRA YASIN",OH,09,DEMOCRATIC PARTY,House,Challenger,N,Democrat,munira  abdullahi,NA,NA,
H0CA50129,"ABED, SAM",CA,50,REPUBLICAN PARTY,House,Challenger,C,Republican,sam  abed,NA,NA,
H2NY04251,"ABELOVE, JASON L",NY,04,DEMOCRATIC PARTY,House,Challenger,N,Democrat,jason  abelove,NA,NA,
H2HI01146,"ABKIN, STEVEN L.",HI,01,NONPARTISAN,House,Challenger,N,Other,steven  abkin,NA,NA,
H2MN01371,"ABRAHAMSON, BRIAN",MN,01,OTHER,House,Challenger,N,Other,brian  abrahamson,NA,NA,
H2SC04154,"ABUZEID, GEORGE ASSAD",SC,04,REPUBLICAN PARTY,House,Challenger,P,Republican,george  abuzeid,GeorgeAbuzeidSC,NA,
H2NH01254,"ACCIARD, JULIAN MARC",NH,01,REPUBLICAN PARTY,House,Challenger,P,Republican,julian  acciard,NA,NA,
H2CA18171,"ACEVEDO-ARREGUIN, LUIS",CA,18,DEMOCRATIC PARTY,House,Challenger,P,Democrat,luis  acevedoarreguin,NA,NA,
H2FL10218,"ACHENBACH, JACK JOSEPH",FL,10,DEMOCRATIC PARTY,House,Open seat,C,Democrat,jack  achenbach,JackAchenbach,NA,
H2UT02431,"ACHESON, PHELAN DOUGLAS",UT,02,INDEPENDENT,House,Challenger,N,Other,phelan  acheson,NA,NA,
H2NC05165,"ACKERMAN, MICHAEL STEPHAN",NC,05,REPUBLICAN PARTY,House,Challenger,C,Republican,michael  ackerman,NA,NA,
H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,alma  adams,RepAdams,A000370,2916086925
H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,alma  adams,AlmaforCongress,A000370,2916086925
H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,alma  adams,RepAdams,A000370,2147483647
H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,alma  adams,AlmaforCongress,A000370,2147483647
H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,alma  adams,RepAdams,A000370,1609364557
H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,alma  adams,AlmaforCongress,A000370,1609364557
H2NV01322,"ADAMS, JANE",NV,01,REPUBLICAN PARTY,House,Challenger,N,Republican,jane  adams,iLoveJaneAdams,NA,
H2TN03235,"ADAMS, MATT",TN,03,DEMOCRATIC PARTY,House,Challenger,P,Democrat,matt  adams,NA,NA,
H2SC06126,"ADDISON, MICHAEL ANTONIO DR.",SC,06,DEMOCRATIC PARTY,House,Challenger,N,Democrat,michael  addison,NA,NA,
H2TX09131,"ADDISON, RANDALL LEE MR.",TX,09,INDEPENDENT,House,Challenger,N,Other,randall  addison,NA,NA,
H2FL21132,"ADEIMY, DEBORAH",FL,22,REPUBLICAN PARTY,House,Challenger,N,Republican,deborah  adeimy,DebAdeimy,NA,
H2CT81017,"ADELPHI, ADRIAN",CT,81,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,adrian  adelphi,NA,NA,
H6AL04098,"ADERHOLT, ROBERT B. REP.",AL,04,REPUBLICAN PARTY,House,Incumbent,N,Republican,robert  aderholt,Robert_Aderholt,A000055,76452765
H0KS03236,"ADKINS, AMANDA",KS,03,REPUBLICAN PARTY,House,Challenger,P,Republican,amanda  adkins,amanda_adkins,NA,
H2VA07212,"ADKINS, GARY GENE",VA,07,REPUBLICAN PARTY,House,Challenger,N,Republican,gary  adkins,NA,NA,
H2NV02536,"AFZAL, JOSEPH EDWARD",NV,02,DEMOCRATIC PARTY,House,Challenger,N,Democrat,joseph  afzal,JoeyAfzal,NA,
H2OH05054,"AGAN, JEFFREY JOHN MR. JR",OH,05,DEMOCRATIC PARTY,House,Challenger,N,Democrat,jeffrey  agan,NA,NA,
H2NY11165,"AGODA-KOUSSEMA, KOMI L.T. DR.",NY,11,DEMOCRATIC PARTY,House,Challenger,P,Democrat,komi  agodakoussema,NA,NA,
H2AK00374,"AGUAYO, DENNIS W. ""DENNY""",AK,00,NONPARTISAN,House,Open seat,N,Other,dennis  aguayo,NA,NA,
H0FL04140,"AGUILAR, ERICK JAVIER",FL,04,REPUBLICAN PARTY,House,Challenger,P,Republican,erick  aguilar,ErickAguilarJAX,NA,
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,RepPeteAguilar,A000371,3018670151
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,PeteAguilar,A000371,3018670151
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,aguilarpete,A000371,3018670151
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,RepPeteAguilar,A000371,768489333393272832
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,PeteAguilar,A000371,768489333393272832
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,aguilarpete,A000371,768489333393272832
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,RepPeteAguilar,A000371,2147483647
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,PeteAguilar,A000371,2147483647
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,aguilarpete,A000371,2147483647
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,RepPeteAguilar,A000371,41533245
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,PeteAguilar,A000371,41533245
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,aguilarpete,A000371,41533245
H2IL03188,"AGUIRRE, JUAN ENRIQUE",IL,03,DEMOCRATIC PARTY,House,Challenger,P,Democrat,juan  aguirre,NA,NA,
H2IL08146,"AHMED, JUNAID",IL,08,DEMOCRATIC PARTY,House,Challenger,P,Democrat,junaid  ahmed,JunaidForUs,NA,
H2NC02279,"AHRENS, RICHARD JAMES JR.",NC,02,REPUBLICAN PARTY,House,Challenger,N,Republican,richard  ahrens,NA,NA,
H4NC02127,"AIKEN, CLAYTON CLAY",NC,04,DEMOCRATIC PARTY,House,Open seat,P,Democrat,clayton  aiken,clayaiken,NA,
H2NC01255,"AIKEN, WILLIAM",NC,01,REPUBLICAN PARTY,House,Open seat,P,Republican,william  aiken,NA,NA,
H0HI02213,"AKANA, JOSEPH",HI,02,REPUBLICAN PARTY,House,Challenger,P,Republican,joseph  akana,Joe_Akana,NA,
H2NY05118,"AKHLAGHY, NADER",NY,05,PEACE AND FREEDOM PARTY,House,Challenger,N,Other,nader  akhlaghy,NA,NA,
H2OR04152,"AL-ABDRABBUH, SAMI",OR,04,DEMOCRATIC PARTY,House,Open seat,P,Democrat,sami  alabdrabbuh,NA,NA,
H2FL11166,"ALCANTARA, CHRISTOPHER MANUEL",FL,11,NO PARTY AFFILIATION,House,Challenger,N,Other,christopher  alcantara,NA,NA,
H6NH02089,"ALCIERE, TOM",NH,01,REPUBLICAN PARTY,House,Challenger,N,Republican,tom  alciere,TomAlciere,NA,
H2AL01200,"ALCORN, PETER DAVID",AL,01,REPUBLICAN PARTY,House,Challenger,N,Republican,peter  alcorn,NA,NA,
H2HI01112,"ALCUBILLA, SERGIO JOSEPHUS MR. III",HI,01,DEMOCRATIC PARTY,House,Challenger,P,Democrat,sergio  alcubilla,sergio4hawaii,NA,
H2OH07258,"ALEXANDER, ANTHONY LEON",OH,07,REPUBLICAN PARTY,House,Open seat,N,Republican,anthony  alexander,Anthony4congres,NA,
H2WI02199,"ALEXANDER, DOUGLAS",WI,02,INDEPENDENT,House,Challenger,N,Other,douglas  alexander,DouglasWI1957,NA,
H2OH11300,"ALEXANDER, MARTIN",OH,06,DEMOCRATIC PARTY,House,Challenger,N,Democrat,martin  alexander,NA,NA,
H2MO07127,"ALEXANDER, SAM DR",MO,07,REPUBLICAN PARTY,House,Open seat,C,Republican,sam  alexander,NA,NA,
H2NJ02193,"ALEXANDER, TIMOTHY C",NJ,02,DEMOCRATIC PARTY,House,Challenger,P,Democrat,timothy  alexander,talexander_NJ02,NA,
H2MI04260,"ALFONSO, JOSEPH",MI,04,DEMOCRATIC PARTY,House,,N,Democrat,joseph  alfonso,AlfonsoforMI4,NA,
H2MO04207,"ALFORD, MARK",MO,04,REPUBLICAN PARTY,House,Incumbent,C,Republican,mark  alford,RepMarkAlford,A000379,
H2MO04207,"ALFORD, MARK",MO,04,REPUBLICAN PARTY,House,Incumbent,C,Republican,mark  alford,markalfordkc,A000379,
H2NC06098,"ALLAM, NIDA",NC,04,DEMOCRATIC PARTY,House,Challenger,P,Democrat,nida  allam,NidaAllam,NA,
H2CO08103,"ALLCORN, TYLER",CO,08,REPUBLICAN PARTY,House,Open seat,C,Republican,tyler  allcorn,allcorn4co,NA,
H2IN07195,"ALLEN, BILL",IN,07,REPUBLICAN PARTY,House,Challenger,C,Republican,bill  allen,NA,NA,
H4CA24175,"ALLEN, BRAD DR",CA,24,REPUBLICAN PARTY,House,Challenger,N,Republican,brad  allen,NA,NA,
H2CA24229,"ALLEN, BRAD DR.",CA,24,REPUBLICAN PARTY,House,Challenger,P,Republican,brad  allen,NA,NA,
H2PA10108,"ALLEN, BRIAN",PA,10,REPUBLICAN PARTY,House,Challenger,P,Republican,brian  allen,NA,NA,
H2IL17105,"ALLEN, COREY",IL,17,REPUBLICAN PARTY,House,Open seat,N,Republican,corey  allen,NA,NA,
H2SC07256,"ALLEN, GRAHAM",SC,07,REPUBLICAN PARTY,House,Challenger,C,Republican,graham  allen,NA,NA,
H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,Republican,richard  allen,RepRickAllen,A000372,2964287128
